draw_id,draw_time,hour,number_1,number_2,number_3,number_4,number_5,number_6,number_7,number_8,number_9,number_10,number_11,number_12,number_13,number_14,number_15,number_16,number_17,number_18,number_19,number_20
1097716,1970-01-01 00:28:38.494200,0,42,55,18,52,73,17,25,37,34,39,28,72,56,64,62,47,27,76,69,70
1097715,1970-01-01 00:28:38.493900,0,70,38,40,59,11,76,42,68,13,34,28,77,22,25,12,24,72,46,48,15
1097714,1970-01-01 00:28:38.493600,0,80,2,52,5,41,63,72,69,14,40,59,29,71,19,50,51,54,46,58,77
1097713,1970-01-01 00:28:38.493300,0,66,56,39,51,19,61,37,77,75,58,43,26,69,3,54,50,1,25,15,53
1097712,1970-01-01 00:28:38.493000,0,77,51,35,15,65,5,53,64,54,10,73,20,4,61,7,63,66,33,11,42
1098009,1970-01-01 00:28:38.582100,0,28,43,20,27,24,8,17,23,55,34,49,40,45,14,4,56,68,42,62,15
1098008,1970-01-01 00:28:38.581800,0,6,79,32,64,71,38,13,9,77,5,72,80,8,14,19,16,10,1,18,37
1098007,1970-01-01 00:28:38.581500,0,51,33,4,76,48,30,23,11,12,74,31,28,80,16,58,35,7,39,25,6
1098006,1970-01-01 00:28:38.581200,0,62,40,79,68,55,77,12,61,53,45,27,48,25,52,64,73,16,23,76,10
1098005,1970-01-01 00:28:38.580900,0,66,60,24,11,50,27,53,77,51,80,62,44,49,73,45,54,61,70,21,65
1098004,1970-01-01 00:28:38.580600,0,61,20,2,12,33,56,74,62,23,67,36,14,18,28,66,45,10,27,68,38
1098003,1970-01-01 00:28:38.580300,0,5,65,76,38,58,53,39,71,4,16,21,60,3,51,40,49,25,2,67,9
1098002,1970-01-01 00:28:38.580000,0,8,35,51,32,64,49,4,71,22,69,17,78,61,73,20,56,41,39,23,75
1098001,1970-01-01 00:28:38.579700,0,24,6,27,29,11,77,19,72,79,47,1,13,22,50,62,61,21,74,4,25
1098000,1970-01-01 00:28:38.579400,0,40,50,78,75,47,29,37,65,62,33,28,45,32,52,27,44,41,70,17,26
1098297,1970-01-01 00:28:38.668500,0,5,42,37,78,6,7,63,3,31,54,17,36,69,40,75,2,56,55,28,39
1098296,1970-01-01 00:28:38.668200,0,23,25,49,68,58,73,78,38,24,12,28,10,45,57,37,53,19,27,46,47
1098295,1970-01-01 00:28:38.667900,0,36,14,62,18,21,15,24,38,11,49,7,46,17,12,3,25,73,57,20,27
1098294,1970-01-01 00:28:38.667600,0,50,80,62,11,54,67,15,46,22,33,5,66,37,1,7,69,76,23,61,12
1098293,1970-01-01 00:28:38.667300,0,79,64,49,71,68,12,43,50,61,55,20,72,14,3,37,16,34,4,2,44
1098292,1970-01-01 00:28:38.667000,0,40,42,28,73,36,58,16,9,55,12,30,48,27,76,67,31,43,19,62,72
1098291,1970-01-01 00:28:38.666700,0,17,34,73,69,20,28,67,60,76,79,75,33,13,6,16,77,1,80,49,45
1098290,1970-01-01 00:28:38.666400,0,73,53,45,22,25,23,65,78,61,26,3,12,17,50,60,71,66,4,7,28
1098289,1970-01-01 00:28:38.666100,0,39,64,32,3,54,72,59,74,80,28,8,9,6,67,41,34,73,63,76,12
1098288,1970-01-01 00:28:38.665800,0,5,25,65,21,8,43,58,59,80,26,30,13,19,22,34,44,32,6,52,75
1098585,1970-01-01 00:28:38.754900,0,58,64,18,13,20,68,32,70,23,31,10,63,80,35,77,76,34,37,41,48
1098584,1970-01-01 00:28:38.754600,0,8,15,47,58,36,29,59,45,57,73,42,68,4,12,2,49,62,5,18,9
1098583,1970-01-01 00:28:38.754300,0,69,46,35,32,13,54,76,37,16,56,4,70,1,64,62,26,29,53,28,19
1098582,1970-01-01 00:28:38.754000,0,64,36,46,20,72,62,70,14,75,48,58,43,73,37,17,19,29,39,34,59
1098581,1970-01-01 00:28:38.753700,0,8,48,35,1,28,73,41,50,53,13,51,39,62,3,29,33,71,27,78,2
1098580,1970-01-01 00:28:38.753400,0,72,9,11,61,28,18,50,65,14,57,67,33,78,15,22,30,48,58,77,27
1098579,1970-01-01 00:28:38.753100,0,5,41,39,64,9,67,22,12,76,32,40,21,33,13,77,14,72,26,54,61
1098578,1970-01-01 00:28:38.752800,0,2,26,30,10,57,15,27,42,75,12,7,34,40,66,74,31,71,20,44,55
1098577,1970-01-01 00:28:38.752500,0,59,43,63,62,78,5,51,37,74,17,44,38,39,66,64,35,67,28,40,12
1098576,1970-01-01 00:28:38.752200,0,37,75,64,38,40,23,3,16,78,72,66,15,52,56,76,30,77,74,44,27
1098873,1970-01-01 00:28:38.841300,0,15,68,13,25,12,74,49,73,69,54,60,45,23,39,1,28,11,64,80,56
1098872,1970-01-01 00:28:38.841000,0,48,17,16,43,79,26,22,51,50,36,19,76,78,27,11,20,13,15,38,68
1098871,1970-01-01 00:28:38.840700,0,11,76,28,68,37,2,32,72,54,24,9,34,66,52,5,74,33,55,71,39
1098870,1970-01-01 00:28:38.840400,0,32,7,62,47,79,30,54,77,14,63,71,44,25,73,57,65,69,60,19,3
1098869,1970-01-01 00:28:38.840100,0,79,45,42,48,5,22,77,60,41,72,44,3,50,43,4,30,57,47,66,34
1098868,1970-01-01 00:28:38.839800,0,32,37,13,7,8,56,58,57,65,29,26,67,76,39,60,14,27,40,19,68
1098867,1970-01-01 00:28:38.839500,0,38,72,76,13,23,42,44,20,70,80,36,34,67,59,52,9,25,50,40,18
1098866,1970-01-01 00:28:38.839200,0,45,32,80,31,8,43,7,70,1,4,60,74,40,75,24,21,28,36,10,54
1098865,1970-01-01 00:28:38.838900,0,36,24,21,57,40,9,44,72,32,16,77,19,8,41,67,43,50,29,6,68
1098864,1970-01-01 00:28:38.838600,0,62,61,18,52,24,15,59,51,28,66,41,53,35,71,78,27,50,11,7,17
1099161,1970-01-01 00:28:38.927700,0,72,69,15,28,60,44,19,9,39,5,43,46,63,24,8,66,1,78,12,3
1099160,1970-01-01 00:28:38.927400,0,62,71,56,66,42,25,76,69,13,50,43,33,1,64,4,36,53,40,34,22
1099159,1970-01-01 00:28:38.927100,0,28,71,19,51,77,76,45,48,55,43,22,26,63,29,65,52,57,42,46,75
1099158,1970-01-01 00:28:38.926800,0,41,31,56,29,18,51,26,52,79,17,9,15,57,24,69,34,66,65,47,30
1099157,1970-01-01 00:28:38.926500,0,78,42,26,39,38,55,75,63,8,11,79,48,61,13,6,45,10,64,43,44
1099156,1970-01-01 00:28:38.926200,0,3,22,48,12,45,42,80,11,27,49,32,15,14,23,25,60,16,13,71,50
1099155,1970-01-01 00:28:38.925900,0,41,22,16,58,13,60,5,56,4,1,2,48,8,35,71,69,57,43,20,52
1099154,1970-01-01 00:28:38.925600,0,75,29,50,33,49,52,34,38,42,6,4,80,73,66,26,61,43,35,25,3
1099153,1970-01-01 00:28:38.925300,0,29,15,56,19,2,43,16,59,7,14,55,5,22,12,79,68,63,72,46,20
1099152,1970-01-01 00:28:38.925000,0,54,28,70,49,58,73,47,10,7,20,25,34,42,8,11,44,80,6,24,48
1099449,1970-01-01 00:28:39.014100,0,2,9,8,64,49,71,55,11,3,29,63,23,58,35,42,36,62,34,44,7
1099448,1970-01-01 00:28:39.013800,0,73,4,49,27,28,50,67,45,9,19,66,79,35,24,7,80,22,29,10,37
1099447,1970-01-01 00:28:39.013500,0,32,69,49,68,21,28,46,15,34,24,6,3,5,60,59,66,40,12,13,25
1099446,1970-01-01 00:28:39.013200,0,24,1,73,11,51,55,54,57,56,63,28,23,64,31,77,39,22,59,36,53
1099445,1970-01-01 00:28:39.012900,0,14,46,30,21,25,18,5,43,79,11,9,4,77,80,70,12,37,49,44,1
1099444,1970-01-01 00:28:39.012600,0,56,52,60,27,71,57,59,23,22,4,3,18,64,79,43,70,72,13,25,19
1099443,1970-01-01 00:28:39.012300,0,10,67,80,42,3,5,61,49,48,53,6,62,72,33,8,71,17,23,78,69
